"1","5949","4","5","4","4","5","4","4.35"
"2","6126","5","2","5","2","4","4","3.65"
"3","6222","4","5","5","4","5","4","4.5"
"4","9311","5","5","4","1","4","5","4.1"
"5","9855","5","2","4","5","5","4","4.1"
"6","10066","5","5","5","5","5","1","4.4"
"7","12686","4","5","4","4","1","4","3.75"
"8","13580","4","2","5","5","5","5","4.2"
"9","15934","5","4","4","4","4","4","4.2"
"10","22385","4","5","4","5","2","1","3.6"
"11","22463","5","2","3","5","4","4","3.8"
"12","23455","5","4","1","4","5","1","3.45"
"13","24020","4","5","4","5","5","5","4.65"
"14","24351","4","4","4","2","4","5","3.85"
"15","24925","2","4","5","4","5","5","4.05"
"16","27729","5","5","4","5","5","5","4.85"
"17","29193","5","4","4","4","5","2","4.05"
"18","30544","4","4","4","3","4","5","4"
"19","32481","5","5","4","4","4","4","4.4"
"20","32816","3","5","5","5","2","4","4"
"21","32926","1","1","5","4","4","2","2.65"
"22","33105","5","4","4","4","5","3","4.2"
"23","34079","4","4","5","4","4","5","4.3"
"24","35938","5","5","5","4","4","4","4.55"
"25","38757","2","5","2","4","4","4","3.5"
"26","154","3","5","3","5","4","2","3.7"
"27","2670","4","1","4","4","4","1","2.95"
"28","9861","5","5","5","4","3","5","4.55"
"29","10381","5","2","4","5","5","4","4.1"
"30","11501","4","4","5","5","4","1","3.85"
"31","12081","4","5","3","1","4","4","3.6"
"32","13263","1","4","4","4","5","5","3.7"
"33","14144","5","4","4","4","4","4","4.2"
"34","16322","5","1","4","2","4","5","3.45"
"35","17464","5","4","5","5","5","5","4.8"
"36","18310","4","4","5","4","1","5","3.85"
"37","20312","4","4","4","4","4","1","3.55"
"38","23842","4","2","5","4","1","1","2.85"
"39","24001","4","4","5","4","1","4","3.7"
"40","29761","5","5","3","4","5","4","4.4"
"41","29985","4","5","1","4","4","3","3.6"
"42","31295","1","4","4","3","5","4","3.4"
"43","31793","4","4","5","4","5","4","4.3"
"44","32628","4","4","4","1","1","1","2.65"
"45","33303","4","1","3","4","5","3","3.25"
"46","34389","4","1","4","4","5","5","3.7"
"47","36050","5","5","5","4","4","5","4.7"
"48","38901","4","3","5","5","5","4","4.25"
"49","156","1","5","4","5","2","5","3.6"
"50","434","4","5","5","4","4","4","4.35"
"51","2295","4","5","5","5","4","5","4.65"
"52","7038","1","4","4","4","4","5","3.55"
"53","7085","3","5","5","4","4","5","4.3"
"54","9641","2","4","4","3","4","3","3.3"
"55","10599","1","2","5","4","4","4","3.15"
"56","16122","4","5","3","4","4","4","4.05"
"57","17913","5","1","1","1","5","1","2.4"
"58","18439","5","5","1","1","2","1","2.75"
"59","22039","5","5","4","5","5","4","4.7"
"60","22263","4","5","3","1","4","4","3.6"
"61","23722","4","5","4","5","3","4","4.2"
"62","24193","5","4","4","1","4","5","3.9"
"63","24863","5","1","4","4","4","4","3.6"
"64","25286","4","5","5","5","4","4","4.5"
"65","28682","5","5","1","5","5","4","4.25"
"66","29276","4","4","1","5","5","2","3.55"
"67","31354","4","3","4","4","5","3","3.8"
"68","31876","4","5","3","5","5","4","4.35"
"69","34665","4","5","4","5","4","1","3.9"
"70","946","4","4","4","5","1","2","3.4"
"71","3706","5","4","5","5","5","5","4.8"
"72","4128","1","4","5","2","4","4","3.25"
"73","5997","4","5","5","4","5","4","4.5"
"74","6300","1","4","4","4","4","5","3.55"
"75","6718","5","5","4","5","4","5","4.7"
"76","9470","1","3","5","5","3","4","3.35"
"77","11128","4","4","1","4","1","1","2.65"
"78","12868","5","5","5","4","5","5","4.85"
"79","13511","5","5","5","4","4","2","4.25"
"80","14303","4","4","4","1","3","4","3.4"
"81","15513","5","4","1","5","4","4","3.9"
